id,full_text,dominant_topic,engagement
82,"m.facebook.com/story.php?stoÖ""The #Gardasil Shot. ""Remember it was marketed as """"""""safe and effective,"""""""" and they encouraged all kids and women, and men, ages of 9-26, to prevent 4 of the most prevalent strains of the Human Papilloma Virus (genital warts), which supposedly, they say can cause cervical cancer? It causes cervical cancer, neurological injury, and infertility, among other things."" ""Go to: childrenshealthdefense.org/nÖ to find out why this """"""""safe and effective"""""""" vaccine is deadly. Yet, after our FDA pulled the vaccine off the US market in 2020, after it killed and injured tens of thousands of people-- the same FDA, then approved it's grandparent vaccine, Gardasil9. Now they market this vax as """"""""safe and effective,"""""""" and just like the first one, it's sold all over the world!  "" ""The annual deaths from cervical cancer in the US are 2.3/100,000 people. The death rate from Gardasil's clinical trial was 85/100,000, or 37x that of deaths from cervical cancer."""""""" "" In addition, they dramatically affect fertility! The trials for both Gardasil and Gardasil9 showed a 25% and 27.4% miscarriage rate respectively, and they contain Polysorbate 80 and Borax. These two chemicals are known to cause infertility in animals. They used a deadly chemical, a neurotoxic aluminum adjuvant called AAHS, in their trial for Gardasil and called it a placebo! Placebos are supposed to be saline, or exercise, or something that cannot harm you! Then guess what they used as a placebo for the Gardasil9 trial? They used the first Gardasil shot, pulled off the US market, for deaths and injuries. They then called it a placebo! Doctors do not read the studies! They read the summary of the study, which often doesn't even get close to matching the data. ie. Pfizer tried to keep the mRNA gene therapy shots in their #Pfizertrial hidden and confidential for 75 years. Why do you think that was? The Pfizer trial data shows an 82% miscarriage rate. TOTALLY SAFE AND EFFECTIVE. Of course, #BillGates was heavily involved in the funding, trial manipulation, and marketing via his Center for Global Development, who worked closely with the #CCP and the #WHO. Cgdev.org/blog/gates-funds-nÖ ""Who is the biggest donor to the Center for Global Development? #TheBillandMelindaGatesFoundation, of course. What was the CFGD founded to accomplish? The #UN2030 Agenda. It says so clearly on their website via their """"""""about"""""""" page."" You can go to principled-practice.com/blog to understand the true history of our #CDC and #NIH. #WakeUpAmerica #luciferian #depopulation #billgatesisevil #NewWorldOrder #Merck #MedicalFraud #healthcaredeaths I am not an antivaxxer, I am an RN  #vaccinesafetyadvocate, who has learned the #ushealthcare industry has been heavily corrupted, and your health, and your life are often not their priority! ""Sarah Lawton, RN, BSN, CCM",3,12
83,"#RFKJr., #Gardasil Many of the things Iím going to say today would be slanderous if they were not true. if theyíre not true, then Merck should sue me. But Merck wonít do that. they wonít do it bkz in the US, truth is an absolute defense against slander.î childrenshealthdefense.org/nÖ",4,0
84,"rumble.com/v2fbkew--jonathanÖ""?? Jonathan Irwin, founder of the Jack&Jill foundation. Jonathan Irwin explains how the #Gardasil HPV vaccine has injured his daughter, and how the HSE in Ireland have done nothing to help.""#VaxxedIreland @GerardDelaney39 ?? @HealthFreedomIE",2,0
87,"IT HAS CANCER IN IT ????""""??MERCK states that #Gardasil """"""""contains NO viral DNA"""""""". ""TESTED - 100% positive for HPV DNA was found..SANE VAX to FDA: Recombinant HPV DNA found in multiple samples of Gardasil ""sanevax.org/sane-vax-to-fda-Ö",2,0
91,The data on #Gardasil is available. Educate yourselves.,0,3
97,"And his anti-vax stance. #Gardasil"" His daughters *may* become promiscuous, unlike him. #Joyce: 2011 Australian Christian Lobby conference: ìThe best protection for those girls is that they get themselves into a secure relationship with a loving husbandî ""news.com.au/lifestyle/relatiÖ",2,1
99,"Were you diagnosed with POTS, premature ovarian failure, or other side effects after receiving the Gardasil HPV vaccine? You may be able to pursue compensation by filing a legal claim. ""#Gardasil #HPV #hpvvaccine #hpvawareness #gardasilreaction ""wisnerbaum.com/blog/2023/aprÖ",0,3
104,"Thank you @megynkelly for having a truthful discussion about #hpv and #gardasil "" "" open.spotify.com/episode/74xÖ",0,9
105,"@tweetninthedark ""Not the first horror story I've heard about the Gardasil v@x. Read the other day about a child who died after receiving it. Skip that one and just don't be promiscuous.""#gardasil",1,0
108,"a typical letter from a young woman injured by #Gardasil. Her injuries, like those of so many, are manifold, complex and life-altering. ""ìÖlupus, rheumatoid arthritis, raynauds, POTSÖIBS, etc., and cervical cancer requiring a hysterectomy by age 24.î""childrenshealthdefense.org/dÖ",3,0
113,"Lawyers can join us tomorrow for the #Gardasil #HPV vaccine litigation update. Presenters are Tracy Turner of Pendley, Baudin & Coffin, Andrew Downing of Downing Allison & Jorgenson, and Bijan Esfandiari and Stephanie Sherman @lawyersherman of Wisner Baum.",0,1
115,Reminder: NOT required in Virginia schools. Abstinence or condoms. #Cville #UVA #gardasil,0,0
118,The data on #Gardasil is available. Educate yourselves.,0,3
129,"@AssociationPEC @ALnpvl @GardasilNews """"#Gardasil",0,0
132,"""""we want justice for our son, who suffered mightily because Merck never told us that serious adverse effects were possible. We want accountability and acknowledgment that what theyíve done is wrong.""""""""""#HPV #Gardasil #BigPharma""childrenshealthdefense.org/dÖ",1,0
134,#StopTheShots #vaccineinjuries #VaccineSideEffects #Cancer #CancerResearch #cancerawareness #gardasil,2,4
137,"??MERCK states that #Gardasil """"""""contains NO viral DNA"""""""". ""TESTED - 100% positive for HPV DNA was found..SANE VAX to FDA: Recombinant HPV DNA found in multiple samples of Gardasil ""sanevax.org/sane-vax-to-fda-Ö",2,0
143,#gardasil #Merck #vaccineinjuries childrenshealthdefense.org/dÖ,1,0
144,"Diane Harper, lead #Gardasil researcher ñ what are the facts? skepticalraptor.com/skepticaÖ",2,2
147,"We filed the initial patent applications for the life-saving #Gardasil vaccine more than 30 years ago in 1991."" The #hpvvaccine , developed by @ianhfrazer @UQ_News , now has the potential to eliminate #cervicalcancer worldwide. Read more from @gavi ""tinyurl.com/nr3r84n7",1,5
150,"ANOTHER testimony. So much for being """"""""Extremely Safe"""""""" @DonnaHowardTX. "" ""#NotExtremelySafe #Gardasil #HB989 #txlege",4,10
152,"CORVELVA's #GARDASIL chemical composition..""""drive.google.com/open?id=1vWÖ",0,0
154,Start with making pharmaceutical companies liable for killing and or maiming our children. #Gardasil #dtap,2,0
160,"Do you have a wart? Thatís HPV. Human Papilloma Virus. ""Some strains can cause anogenital, throat and cervical cancer. HPV can be transmitted just by human touch.The vaccines work. Go get it. ""#HPV #HPVvaccine #antivax #gardasil",1,0
161,13-Year-Old Noah Foleyís Untimely Death After Gardasil piped.video/aILrJQENFq8 via @YouTube #Gardasil,3,0
162,#HPV #VaccineSideEffects #vaccineinjuries #StopTheShots #Cancer #CancerResearch #cancerawareness #gardasil,2,4
165,"Many Unvaccinated Men .... Infected with #HPV "" precisionvaccinations.com/maÖ ""#vaccine #Gardasil #cervicalcancer #pharmacy #hcsm #mHealth",1,2
167,"@P_McCulloughMD """"??MERCK states that #Gardasil """"""""contains NO viral DNA"""""""". "" TESTED - 100% positive for HPV DNA was found.. SANE VAX to FDA: Recombinant HPV DNA found in multiple samples of Gardasil ""sanevax.org/sane-vax-to-fda-Ö",2,1
169,@AmyPaulin Just advanced a bill that would allow practitioners to give #gardasil shots to any child as young as 9 without parental consent or knowledge.,4,2
175,"#Court Orders #Merck to Turn Over #Gardasil #AdverseEvent Databases""to plaintiffs suing the #pharmaceutical giant for injuries allegedly caused by the #HPVvaccine ""childrenshealthdefense.org/dÖ",4,4
177,"??????HPV???? | BPK 9 ??????""???? 23,000 ?????????!????????.?????????????? WeChat?ipenzz13linkbio.co/50123051HcLU8""#???? #???? #???? #?? #?? #HPV #???? #??HPV?? #???? #GARDASIL #??????? #HPV????",0,0
178,"This is HPV vaccine called the #Gardasil. ""One of my friend's daughter was pushed to get this by the pediatrician. But I had already informed her about this, and she said NO. ""The pediatrician was so mad at her that she had to stop going to that particular pediatrician.",2,3
181,"#Gardasil #HPV vaccine, just another horrible failure.",0,1
185,#vaccines #HPV #CrimesAgainstHumanity #Gardasil #DiedSuddenly,0,0
186,Do you have an #HPVvaccine #Gardasil injury story to share? Tell Rep @DonnaHowardTX how #NotExtremelySafe this vax is and urge the TX Higher Ed Cmte to vote ìnoî on #HB989 #txlege,4,12
190,"#TeamTFVC testimony below ??"" ""#NotExtremelySafe #Gardasil #HB989 #txlege",4,14
191,"#GARDASIL""@IMSS""instagram.com/reel/CtnZ101sUÖ",0,4
194,Speaking of Clown World: The @nydems passed @AmyPaulin's bill in the Assembly Health Committee that allows children as young as 9 to get #Gardasil shots without the consent/knowledge of Mom/Dad. The clown even brought her dog to vote on the bill.,2,0
196,Court Orders Merck to Turn Over Gardasil Adverse Event Databases ï Children's Health Defense #gardasil #AdverseEvents childrenshealthdefense.org/dÖ,1,2
208,"My son at 16 ended up with thyroid and kidney damage from the HPV requiring lifetime treatment and monitoring. Not safe at all!""""#NotExtremelySafe #Gardasil #HB989 #txlege @DonnaHowardTX",4,9
210,"childrenshealthdefense.org/dÖ """"#gardasil #vaers #vaccineinjuries #merck",1,1
213,"According to Donna Howard, thereís absolutely nothing to worry about when it comes to the HPV shot. "" Do you agree? Be sure to let her know in the replies ?? ""#NotExtremelySafe #Gardasil #HB989 #txlege @DonnaHowardTX",4,34
214,"#HPV can cause cancers to reproductive organs. However, it is preventable with the #Gardasil vaccine. Gardasil is available at doctor's offices and also at the upcoming School Immunization Event for 7th and 12th grade students. For more information, visit nhcgov.com/702/School-Based-Ö",1,0
215,"?? ??? ?? ??? ??????? ?? ???""Like ?? Share ??? .....""#cervical #fisioterapia #neckpain #osteopatia #cervicalcancer #backpain #o #doctor #herniadedisco #dolor #medicina #hpv #columna #wellness #cervicalcancerawareness #healthcare #pain #medicine #gardasil #health #cervica",3,0
217,#Merck & Co. #sued over #Gardasil #HPV #vaccine deceit bit.ly/3oMkfEp bit.ly/3oMkfEp,4,0
218,"Caroline's treatment for cervical cancer post #Gardasil vaccine put her into menopause in her 20s, so she will never be able to have children of her own because her eggs are no longer viable. Read about her HPV lawsuit against Merck wisnerbaum.com/prescription-Ö @rustyrockets @joerogan",1,5
220,#Merck & Co. #sued over #Gardasil #HPV #vaccine deceit bit.ly/3oMkfEp bit.ly/3oMkfEp,4,0
221,Remember folks! There's a vaccine for this. #Gardasil #HPVvaccine,0,1
228,The judge overseeing the federal #Gardasil #HPV vaccine litigation has ordered #Merck to produce its entire database of Gardasil adverse events to attorneys representing dozens of women and men suing the company for Gardasil induced autoimmune conditions. bit.ly/3zAwOHc,1,7
229,#hpv #hpvawareness #hpvvaccineeducation #hpvvirus #epochtimes #gardasil #fda #cdc @epochtimes @fda @cdcgov,0,0
234,"Episode 90 available now on @spotify "" ""#spotify #90 #ninety #podcast #rbftt #hpv #hpvawareness #hpvvaccineeducation #hpvvirus #epochtimes #gardasil #fda #cdc @epochtimes @fda @cdcgov",0,0
242,"Wisner Baum is fighting for young boys and girls who allege in lawsuits that they sustained debilitating side effects from the popular hpv shot, Gardasil. Call us today for a free case evaluation.""#VaccineInjury #Gardasil #HPV""bit.ly/423L0VV",3,5
251,"#SmallSensoryFiberNeuropathy and #POTS also are associated with other vaccines such as†#Gardasil, #Merckís human papillomavirus (#HPV) vaccine.""""#LongVax",1,0
252,This is tragic news. So very sad to hear ?? We must #ProtectOurChildren #Gardasil #VaccineGenocide,0,1
253,"So damn sorry. ""I read about the encephalitis and other maladies that came with the #Gardasil inoculation and both my ex husband and I said no way.""  RIP beautiful girl.",2,15
254,Some serious injuries from the Gardasil injection | Watch Wisner Baum Attorney Monique Alarcon piped.video/shorts/_oLxJqQLbÖ #Gardasil #Gardasil9 #HPV #hpvvaccine #hpvawareness #lawyer,0,4
255,"Hey #NY! Red hot action. Call your STATE assemblymember and senator! Oppose Bill A276a, which allows minor to get #Gardasil #shots",2,15
256,"Young Woman Sues Merckóthe #HPVVaccine Meant to Stop #CervicalCancer, Actually Causes the Disease"" #RightToKnow #InformedConsent #Gardasil ""piped.video/watch?v=_4Zm1qviÖ",1,1
257,"How lovely it is seeing a couple of Barren lesbians plot the sterilization of everyone else. """"#gardasil",0,1
258,"25 Reasons to Avoid #Gardasil"" ""childrenshealthdefense.org/nÖ",1,1
259,"If you or someone in your family suffered side effects related to the HPV vaccine, you may be able to pursue legal action in a Gardasil lawsuit.""#VaccineInjury #Gardasil #HPV""bit.ly/423L0VV",0,7
270,"Someone asked a question on my video about the #HPVVaccine #Gardasil, creating a good jump-off point about #VaccineLawsuit(s) and how adverse events are addressed. #Vaccines #GetVaccinated #SafeAndEffective",1,6
272,"Donít let the rainbow fool you. Merck is currently:""1) advocating for multiple doses of #gardasil when one is sufficient2) promoting #molnupiravir despite its ineffectiveness and risks to both patients and global health""3) suing to block #medicare from negotiating drug prices",2,59
281,Reinfocovid #gardasil #Desinformation,0,32
284,"#HPV #Gardasil""""This book is better researched than the vaccine!",0,19
285,"Stateís hostility on vaccine injury is not confined to Covid† #hpv #gardasil #vaccines ""If you are the parent of a teenage girl, you MUST read this. ""conservativewoman.co.uk/statÖ via @theconwom",3,0
287,Concerns of Increased Neurological and Autoimmune Events After HPV Vaccines #Gardasil theepochtimes.com/health/conÖ,1,3
289,"In today's Critical Mass: The Third Circuitís talc dismissal is a ësetbackí for some, and a ëmajor victoryí for others. Plus, a science lab whose reports prompted consumer product recalls is under attack. Also: #GARDASIL #OPIOID #NICHOLS at.law.com/5Fddvt?cmp=share_Ö via @lawdotcom",4,1
291,"Refused this for my 2 daughters, then when my son came alongÖ. Tried to push it on him. Thanks, but no thanks!! #Gardasil #HPV #Poison #CDC #Liars",0,6
292,"It took this poor family more than 10 years to prove that their daughter died from the #HPVVaccine #Gardasil."" That's the reason why people aren't trying to sue more #vaccineinjuries. ""newyork.legalexaminer.com/heÖ",1,3
295,"#CervicalCancer is the 2nd leading cause of cancer death in women in #Cameroon. ""Most cases have been linked to infection with #HumanPapillomaVirus (HPV).#Gardasil is the main vaccine used by @MINSANTECMR in preventing HPV in boys and girls from age 9. ""#HEROCameroon",3,18
297,"Back in 2014, over 200 girls were hospitalised in #Colombia after the administration of #Gardasil #HPV #vaccine""""#vaccineinjuries #vaccinegenocide #CervicalCancer #CervicalCancerAwarenessMonth",2,15
300,"The HPV Vaccine on Trial: Seeking Justice for a Generation Betrayed"" #gardasil#vaccineinjury#HPV#pharmacide ""thevaccinereaction.org/2018/Ö",0,22
303,Safe and Effective Vaccine? HPV Vaccine Gardasil Target of Mounting Legal Claims trialsitenews.com/a/safe-andÖ #HPV #Gardasil,0,12
304,"Lots missing, inc #chemtrails #Gardasil #genderfluid where to stop? ????????",0,6
305,"awakenindiamov: Read this heart breaking story of #gardasil injury""nypost.com/2008/07/20/my-girÖ ""#hpv #StoptheShotsNow #guineapig #CervicalCancerAwarenessMonth",3,0
306,You tried to force child #tdap and #Gardasil vaccines on our kids....#gfys,4,1
309,#GARDASIL IS POISON,0,0
310,"Wisner Baum Senior Partner Michael Baum explains why they really should screen for HPV, otherwise you're increasing your chances of getting cervical cancer when you get the shot. """"#Gardasil #Gardasil9 #HPV #gardasilreaction #gardasilinjury #cervicalcancer piped.video/shorts/5wGN9-_6gÖ",3,6
311,"A healthy 14 year old boy died of Myocarditis after receiving #HPVvaccine #Gardasil""sanevax.org/.../11/Gomez-v-UÖ""Joel Gomez, a healthy boy w/ NO any pre-existing health issues, died next day after his 2nd Gardasil shot. #LotusOak",1,0
312,"Diane Harper, lead #Gardasil researcher ñ what are the facts? skepticalraptor.com/skepticaÖ",2,1
316,"#FactFriday - Gardasil achieved FDA approval in just six months. One of the principal investigators of the Gardasil clinical trials (the human testing that precedes FDA approval) said the process ìwent too fast.î #Gardasil #FDA #lawsuit""""bit.ly/3e5OmUy",2,3
317,"Final tweet of evening: ""#BMJ UK doctors re-examine case for mandatory vaccination of #HPV vaccine find ZERO evidence #Cervarix / #Gardasil will ever prevent a single case of cancer. GSK and Merck, only ever state they are 'intended ""to' /'expected to'",3,1
318,"Sacrificial Virgins - The Dangers of the #HPV #Vaccine (2017)"" #gardasil ""rumble.com/v1whewy-sacrificiÖ",0,15
321,"Mother of daughter injured by #Gardasil #HPV shot, testifies before California State Assembly Health Committee. Katherine Robi spoke in opposition to a section of AB 659 ñ Cancer Prevention Act - that is vague, ambiguous, and misleading. piped.video/O5yudGuVJH4 via @YouTube",2,3
322,"@YourVoiceMD Have just finished listening to your #Ologies shows! "" What a brilliant Ep! You are warm, & smart, & educational, & a person I could I listened to daily. And thanks for the #Gardasil heads up, for all!I recommend you to all! Thankyou. ""Kitty, Australia ????",0,1
323,"awakenindiamov: Dr. Uzi Beller, ìan international authority on gynecological cancersî had came out publicly against vaccinating 65,000, 14-year old girls in Israel with #Gardasil""""ageofautism.com/2013/09/hpv-Ö",2,4
325,"I really do wish all these doctors and experts would stop acting like these """"""""things' haven't been killing and injuring children for a VERY LONG TIME!!!"" #VaccineDeaths #Vaccineinjury#Gardasil RIP Colton Berret #CandlesForColton ""#ItsNotRare #ItsNotFair",4,3
326,#Merck World-Wide Sales for #GARDASIL was 1470m USD in Q4 2022 (Down 36%) 1stoncology.com/blog/4q22-meÖ,4,0
327,"#Gardasil #Vaccine Given without Consent & Ruins Life of 14 Year Old Girl""""vaccineimpact.com/.../gardasÖ #LotusOak",1,1
330,"To sum up, here are the post HPV vaccine medical conditions for which court has awarded compensation."" #InformedConsent #NoAmnesty #TheyLiedPeopleDied#Gardasil#HPV ""#WHOQuitIndia",4,91
331,"Please watch this dad @maggie_bomber a Danish documentary of teen girls who all received the HPV vax, it's one of the most dangerous childhood vaccines"" #gardasil#oneless ""rumble.com/v18fi79-the-vacciÖ",2,28
333,awakenindiamov: The truth about #Gardasil #vaccinegenocide #HPV,0,2
334,"read #Vaccine Package Inserts!""DEATH, Acute Disseminated Encephalomyelitis (#ADEM), Guillain-BarrÈ syndrome, Transverse Myelitis, paralysis etc are documented side effects of #Gardasil #HPVvaccine.""fda.gov/.../pub.../Package-IÖ #LotusOak",0,4
335,Maybe #COVID19 needed to happen in order for the Vaccine Lie to come out. I was a believer in vaccines up until the #chickenpoxvax and #Gardasil for HPV. That was when it started steering to the left for me.,4,0
336,"Gentleman Jackalope helped us discover HPV and its connection to cervical cancer! Read our blog inspired by the recent 99%invisible episode @99piorg"" [Art credit Anna Todaro] ""#HPV #cervicalcancer #jackalope #gardasil",3,0
338,"#HPV is a serious disease that affects many Americans every year, however it is preventable with the Gardasil vaccine. Swipe to learn more!"" ""#publichealth #immunization #gardasil #vaccination #hpv",1,1
339,"Dr. Uzi Beller, ìan international authority on gynecological cancersî had came out publicly against vaccinating 65,000, 14-year old girls in Israel with #Gardasil""""ageofautism.com/2013/09/hpv-Ö",2,21
342,"Norway ???????? ??????????????? #Gardasil ???? #HPV ??????????? ?????? ??????????? 15 ???? ?????????? ????????? ????????? ???? ??????????? ??????????? """"naturalblaze.com/2015/12/norÖ",0,17
343,The truth about #Gardasil #vaccinegenocide #HPV,0,25
346,"awakenindiamov: #Australia : #Cancer Epidemic in #Gardasil Girls""""childrenshealthdefense.org/nÖ",2,0
348,"?? #EnfantsEnDanger ?? #Gardasil """"#Jarnac #macron #papndiaye",3,7
350,"Injured by #Gardasil or other #vaccine then reading this won't surprise you! #CDCLied ""#VaccineDeath #HPV #FDA #WHO #CrimesAgainstHumanity #Pharmaceutical #Merck ""#wef23",2,3
355,"#Gardasil #HPV truths you shouldn't miss.""gardasilhpvtruths.com/ ""#StopTheShotsNow",0,30
359,"Did you know that memory impairment and involuntary movement have been observed after #HPVvaccine?""ncbi.nlm.nih.gov/pmc/articleÖ Want to learn more?piped.video/physiciansforinfÖ ""#1stDoNoHarm #Vaccines #InformedConsent #HPV #Gardasil #CervicalCancer #Science #Statistics",4,132
361,"#Australia : #Cancer Epidemic in #Gardasil Girls""""childrenshealthdefense.org/nÖ",2,24
363,"#gardasil is poison REFUSED to allow it to be given to my child."" ""U.S Government and vaccine makers are criminal organizations.",4,3
367,"This is exactly what happened when people where injured after the #gardasil #vaccine ""#VaccineSideEffects #CovidVaccines #COVID #vaccinedamage ""#Fauci can you explain?",2,0
371,"A recent @Merck study in the Expert Review of Vaccines evaluated the global impact of the HPV vaccine, and found that #GARDASIL led to reduced rates of HPV and HPV-related diseases in men and women. Read more about the positive impact of the #HPV vaccine. bit.ly/3FFYkHf",1,0
374,"#January should be #HPV Vaccine Injury awareness month. That #Gardasil Vaccine comes with crippling side effects will be dismissed by media and doctors however it's up to you to stay #informed"" ""snopes.com/news/2017/06/08/gÖ",0,18
379,#Gardasil #infertility #BigPharma #DepopulationAgenda #NWO,0,0
389,A long but very illuminating thread on HPV vaccine #Gardasil,4,2
390,"I met a girl who was a dancer, then got the #gardasil #vaccine and couldnít walk.",2,1
395,"Lawsuit claims #HPV-vaccine causes auto-immune and neurologic disorders"" web.archive.org/web/20230307Ö ""#Merck #HPVvaccine #Gardasil.",4,2
397,Holy shit that #gardasil is a bitch. #owowowow,0,1
398,"If you have experienced side effects or an autoimmune disorder after receiving the Gardasil vaccine, we have created a comprehensive guide which includes links to helpful resources and support groups. #Gardasil #hpv """"bit.ly/3OVYlcP",0,4
399,"The HPV vaccine protects against the types of HPV that most often cause cervical cancers. HPV can also cause other kinds of cancer in both men and women. "" ""#hpv #hpvvaccine #vaccine #gardasil #cancerprevention #cervicalcancer #humanpapalomavirus",1,0
403,"Many young people who received the Gardasil vaccine are suffering, & it has been a living nightmare for parents with kids who experienced adverse reactions to the vaccine. They trusted Gardasil, never suspecting the harm that could follow. #Gardasil #hpv """"bit.ly/3e5OmUy",1,8
404,"?? Flyer NB #Jarnac #boycott ""#ParentsEnColere #Gardasil docdroid.net/DEUlfVr/jarnac-Ö ""??#ProtegeonsNosEnfants",3,18
406,"I liked Perry, but his #Gardasil mandate for girls really annoyed me and I have never forgotten it.""""I think that he's a good Joe, but I think that he either got some bad advice on that or he got a healthy campaign donation.",2,0
413,Could the Gardasil vaccine lawsuit result in big payouts? trialsitenews.com/a/gardasilÖ #HPV #Gardasil #HPVvaccine #vaccine #vaccines #vaccineinjury,0,1
421,"Did you know a healthy 17-year-old woman suddenly developed inflammation of the heart muscle & died within 2 weeks of receiving an #HPVvaccine?""amjmed.com/article/S0002-934Ö Sign up: physiciansforinformedconsentÖ ""#1stDoNoHarm #Vaccines #Vaccination #InformedConsent #HPV #Gardasil",1,73
424,Parents up in arms over CA AB 659 that would mandate the #HPV vaccine for students. The science is not settled on the #Gardasil HPV vaccine. Peer reviewed publications demonstrate that. bit.ly/AB659-HPV-Vaccine @wendycarrillo @HeathFloraCA @BMaienschein @Patterdude @KevinMcCartyCA,4,5
426,"Season 1 #gardasil""Season 2 #CovidVaccine Sans oublier #mediator #levothyrox...""Perseverare diabolicum",0,4
431,"#Gardasil 9 (#HPV Vaccine) Schedule, Side Effects, Warnings""drugs.com/gardasil.html ""Comprehensive reference.",0,0
432,"For anyone who doesn't know Colton's story ??"" #gardasil ""thevaccinereaction.org/2018/Ö",4,4
433,"#Merck #Gardasil #clinicaltrials trickery"" Merged saline #placebo & #vaccine placebo groups ""1 in 38 girls will get an #autoimmune disease within 6 or 7 months of their Gardasil shot & they hid that."""""""""" ""Lawsuits in progress.",1,8
436,"TribuneScientifique What about the #Gardasil HPV vaccine? Dr GÈrard DelÈpine takes the time to answer you. And if you take the time to read it """"""""Do not vaccinate neither girls nor boys: a dangerous and ineffective vaccine against cancer""""""""",2,2
441,Parents up in arms over CA Assembly Bill 659 that would mandate the #HPV vaccine for students. The science is not settled on the #Gardasil HPV vaccine. Peer reviewed publications demonstrate that. bit.ly/AB659-HPV-Vaccine @JimWoodAD2 @MarieWaldron75 @AsmAguiarCurry @drarambulaAD31,4,8
443,"injurious #vaccines ""#Gardasil #Hepatitis B""MMR",0,2
444,"The #HPV #Vaccine on Trial: Seeking Justice for a Generation Betrayed"" #gardasil#vaccineinjury#pharmacide#RIPColton ""thevaccinereaction.org/2018/Ö",0,2
445,"TAKE ACTION: Protect Our Children?? Demand adequate informed consent for #HPVvaccines"" ?? bit.ly/3ynDtnh Submit written/oral testimony on Friday 3/10 between 8am + 3pm ET. The hearing will be TUES, 3/10 @ 1pm in the House HGO Committee ""#Maryland #Gardasil",1,158
454,"??Steve Kirsch interview w/ Alix Mayer"" #unvaccinated vs #Vaccinated The Expertsô#Gardasil ""Pharma makes 50-60B USD/yr on the children's #vaccine schedule & they make an additional 500B selling people the treatments, to not cure, but manage all the conditions they cause""""""""",2,3
459,"A realistic estimate is that one in 500 girls ñ or 1,000 of the 500,000 vaccinated experience serious side effects. #Gardasil #Denmark",0,4
460,"History repeats itself. #CovidVaccines are the new Gardasil. Seriously, this is just a variation on an old antivax theme that started with some teenaged girls suffering syncopal episodes after #Gardasil 15+ years ago.",1,192
462,"@EO_Nutrition You may already know this, but studies on the #Gardasil #HPV vaccine show that it depletes thiamine levels. Anyone who's taken those shots needs to supplement with #thiamine",4,0
465,"#HPV #gardasil #Quebec """"fb.watch/i4Ihm_HGUm/?mibextiÖ",0,0
468,"Why are deaths from #CervicalCancer increasing so rapidly AFTER the introduction of #Gardasil? Is this not potentially a safety signal that needs investigation?""""naturalblaze.com/2015/06/.VbÖ",3,5
