id,full_text,engagement,language
43,"Audition parlementaire tout y est ! ""#Gardasil#HpB#GrippeNanoparticules d'aluminium #AlzheimerAutisme 1/35 enfants Asthme 1/11 enfants Maladies auto immunes.....""#CrimesAgainstHumanity",1,fr
45,"#CrimesAgainstChildren #Injection #Papillonavirus #Gardasil""""ProtÈger vos enfants, ces injections ont dÈj‡ ÈtÈ expÈrimentÈ dans d'autre pays. Non seulement, elles sont INEFFICACES, mais en sus, elles s'accompagnent d'effets secondaires. #ProtectChildren #ProtectOurKids #France",0,fr
46,"After experiencing #heartproblems, #ovariancysts etc. after #Gardasil #HPV #vaccine, Shelby Thomson created @unjected, the worldís first #unvaccinateddating site. She joins #FaithfulFreedom with Teryn Gregson by @WTPatriotsUSA to discuss."" Full Ep:""rumble.com/v34e65t-unvaccinaÖ",9,en
47,"Bonjour, non, il faut l'accord des deux parents pour celui-ci ?? #Gardasil #papillomavirus #TouchePas¿MonGosse """"gouvernement.fr/actualite/paÖ",7,fr
48,#Merck est en procËs aux ???? sur le #Gardasil Chercher sur le compte @CHdefenseNY pour plus d'infos.,1,fr
49,"Le druide...et ce n'est pas surprenant vu l'historique #H1N1,#Gardasil ...",0,fr
53,#Merck&Co World-Wide Sales for #GARDASIL was 1972m USD in Q1 2023 (Up 34%) 1stoncology.com/blog/10-q-quÖ,0,en
57,#Gardasil #GARDASIL poiZon tout mon soutien ‡ vous les victimes,1,fr
59,"""""La vaccination, ca ne se discute pas"""""""".""Euh ben si, en fait. Et t'avise pas de t'approcher de mes gosses??????#Gardasil #Papillomavirus ""crowdbunker.com/v/hLfSTy2bw4",1062,fr
60,#Vaccin #Gardasil : les essais sont aussi truquÈs que ceux de l'injection #Covid,15,fr
62,"Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus""""pgibertie.com/2023/07/13/danÖ",14,fr
63,"Cette vaccination n'est pas obligatoire, c'est donc aux parents de dÈcider avec leur enfant si oui ou non cette vaccination est nÈcessaire ‡ 12 ans et prendre en compte les bÈnÈfices/risques de ces injections (3 doses sont nÈcessaires).#Gardasil #vaccination",0,fr
66,"???@LaurenceKayser : ´†C'est dangereux d'injecter des produits qui touchent au systËme immunitaire des gens. Pourquoi prendre des risques sur la #santÈ des jeunes ? «a n'a pas de sens. ª #vaccins #vaccination #papillomavirus #gardasil"" ""Entretien complet ? piped.video/HTeXkz_BykY",24,fr
69,"Merck beats first-quarter expectations on Keytruda, Gardasil strength #Merck #Mercknews #cancer #financialresults #keytruda #Gardasil #HPVvaccine #molnupiravir #Lagevrio #q1results medicaldialogues.in/news/indÖ",0,en
70,"Quand il sera capable de reconnaÓtre les EI des diffÈrents scandales sanitaires sans rechigner, il sera en droit de parler de la Science. Pas avant. #creuzfeldtjacob #levothyrox #mediator #h1n1 #gardasil ...",2,fr
71,"InefficacitÈ et forte toxicite du. Vaccin chez les enfants""Les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) provoquent des effets secondaires graves causÈs par les adjuvants Toujours injectÈs""#Gardasil provoque des dÈcËs et effets secondaires graves tjs injectÈs",1,fr
74,Gardons-nous du #Gardasil ?????,8,fr
75,That's Zuckerberg & his wife Priscilla Chan a pediatrician in the back of the needle car. #VaxxedII is about the harm the #gardasil vaccine has caused children. This political cartoon was way before covid. He's known where his bread is buttered long ago.,6,en
76,"@AssociationPEC "" @FrcsBraun @PapNdiaye @education_gouv @Sante_Gouv Ne vous avisez pas de dÈployer des infirmiËres du IVe Reich dans les Ècoles pour les injections #Gardasil ou #Covid ! ""Alerte ?? Injections sans consentement des parents ds les ecoles !",1,fr
77,"Ce torchon est financÈ par l'Etat ( donc nous ) et par Bill Gates.""""Vive le #Gardasil et la vaccination permanente,",5,fr
78,"Prevent HPV with Gardasil. Three separate doses needed for ages 12+ and available at #TheShotNurse."" ""#PreventHPV #Gardasil #Vaccinate",1,en
79,"- ne voulait pas celui contre le Covid, finalement son professeur lui en injectÈ 7. Son mari enseignant vendait #gardasil aux adolescentes,et se plaint que la France est derniËre.Ils ont eu pÈniblement leurs jumeaux par FIV et donneur , #BigPharma a donnÈ,Big pharma va reprendre",0,fr
81,#Gardasil vk.com/wall684461573_2307,0,en
82,"m.facebook.com/story.php?stoÖ""The #Gardasil Shot. ""Remember it was marketed as """"""""safe and effective,"""""""" and they encouraged all kids and women, and men, ages of 9-26, to prevent 4 of the most prevalent strains of the Human Papilloma Virus (genital warts), which supposedly, they say can cause cervical cancer? It causes cervical cancer, neurological injury, and infertility, among other things."" ""Go to: childrenshealthdefense.org/nÖ to find out why this """"""""safe and effective"""""""" vaccine is deadly. Yet, after our FDA pulled the vaccine off the US market in 2020, after it killed and injured tens of thousands of people-- the same FDA, then approved it's grandparent vaccine, Gardasil9. Now they market this vax as """"""""safe and effective,"""""""" and just like the first one, it's sold all over the world!  "" ""The annual deaths from cervical cancer in the US are 2.3/100,000 people. The death rate from Gardasil's clinical trial was 85/100,000, or 37x that of deaths from cervical cancer."""""""" "" In addition, they dramatically affect fertility! The trials for both Gardasil and Gardasil9 showed a 25% and 27.4% miscarriage rate respectively, and they contain Polysorbate 80 and Borax. These two chemicals are known to cause infertility in animals. They used a deadly chemical, a neurotoxic aluminum adjuvant called AAHS, in their trial for Gardasil and called it a placebo! Placebos are supposed to be saline, or exercise, or something that cannot harm you! Then guess what they used as a placebo for the Gardasil9 trial? They used the first Gardasil shot, pulled off the US market, for deaths and injuries. They then called it a placebo! Doctors do not read the studies! They read the summary of the study, which often doesn't even get close to matching the data. ie. Pfizer tried to keep the mRNA gene therapy shots in their #Pfizertrial hidden and confidential for 75 years. Why do you think that was? The Pfizer trial data shows an 82% miscarriage rate. TOTALLY SAFE AND EFFECTIVE. Of course, #BillGates was heavily involved in the funding, trial manipulation, and marketing via his Center for Global Development, who worked closely with the #CCP and the #WHO. Cgdev.org/blog/gates-funds-nÖ ""Who is the biggest donor to the Center for Global Development? #TheBillandMelindaGatesFoundation, of course. What was the CFGD founded to accomplish? The #UN2030 Agenda. It says so clearly on their website via their """"""""about"""""""" page."" You can go to principled-practice.com/blog to understand the true history of our #CDC and #NIH. #WakeUpAmerica #luciferian #depopulation #billgatesisevil #NewWorldOrder #Merck #MedicalFraud #healthcaredeaths I am not an antivaxxer, I am an RN  #vaccinesafetyadvocate, who has learned the #ushealthcare industry has been heavily corrupted, and your health, and your life are often not their priority! ""Sarah Lawton, RN, BSN, CCM",12,en
83,"#RFKJr., #Gardasil Many of the things Iím going to say today would be slanderous if they were not true. if theyíre not true, then Merck should sue me. But Merck wonít do that. they wonít do it bkz in the US, truth is an absolute defense against slander.î childrenshealthdefense.org/nÖ",0,en
84,"rumble.com/v2fbkew--jonathanÖ""?? Jonathan Irwin, founder of the Jack&Jill foundation. Jonathan Irwin explains how the #Gardasil HPV vaccine has injured his daughter, and how the HSE in Ireland have done nothing to help.""#VaxxedIreland @GerardDelaney39 ?? @HealthFreedomIE",0,en
85,"Se faire enlever des condylomes c'est tellement une partie de plaisir Certains hommes savent vraiment de quoi ils parlent.????""Poke @rosedeb_@Alexa2B74 @AudeVisine @mariedahaoui18 @cyberds001 ""#HPV #gardasil",11,fr
86,"?????? Vacciner le monde avec Gavi"" #Gardasil""#LesGuignols",4,fr
87,"IT HAS CANCER IN IT ????""""??MERCK states that #Gardasil """"""""contains NO viral DNA"""""""". ""TESTED - 100% positive for HPV DNA was found..SANE VAX to FDA: Recombinant HPV DNA found in multiple samples of Gardasil ""sanevax.org/sane-vax-to-fda-Ö",0,en
89,"RENSEIGNEZ-VS avant de mettre les ados en danger !!""@NicoleDelepine 2019Vaccin Gardasil =DANGER docteur.nicoledelepine.fr/?pÖ "" l'infection ‡ papillomavirus passe inaperÁue dans la grande maj des cas et que pire l'effet du #gardasil est paradoxal avec aggravation taux k chez vaccinÈes",6,fr
91,The data on #Gardasil is available. Educate yourselves.,3,en
94,"#Gardasil un tribunal ordonne a Merck de livrer sa base de donnÈes sur les effets indÈsirables""""Les 11 vaccins obligatoires pour les nourrissons Effets secondaires graves causÈs par les adjuvants Toujours injectÈs",0,fr
95,Et puis surtout ne parlons pas du scandale du #Gardasil aux US qui sont juste en procËs et des #pfizerfiles .....,6,fr
96,"CAMPAGNE DE VACCINATION !"" Refusons ces thÈrapies gÈniques qui engendrent des #effetssecondaires massifs ! ProtÈgeons-les !MERCI DE PARTAGER LES CONNAISSANCES SUR CES POISONS !!#Gardasil #cancer #jeunesse#santÈ du #business d'abord ! ??""#crime #gÈnocide #justice #Nuremberg2",2,fr
97,"And his anti-vax stance. #Gardasil"" His daughters *may* become promiscuous, unlike him. #Joyce: 2011 Australian Christian Lobby conference: ìThe best protection for those girls is that they get themselves into a secure relationship with a loving husbandî ""news.com.au/lifestyle/relatiÖ",1,en
98,"Podcast CSI n∞99:""Gardasil, on fait le point.Surya Arby, Philippe de Cazournes, HÈlËne Banoun et Louis FouchÈpodcasters.spotify.com/pod/sÖ""#gardasil #junkscience #conflitsinteret #toxicitÈ #inefficacitÈ",143,fr
99,"Were you diagnosed with POTS, premature ovarian failure, or other side effects after receiving the Gardasil HPV vaccine? You may be able to pursue compensation by filing a legal claim. ""#Gardasil #HPV #hpvvaccine #hpvawareness #gardasilreaction ""wisnerbaum.com/blog/2023/aprÖ",3,en
100,"Le #Gardasil protËge-t-il des cancers du col de l'utÈrus (#Papilionaires #papillomavirus)?""""crowdbunker.com/v/Tv5bug6S",4,fr
101,"Vaxx anti-covid 19 :Effets secondaires graves""11vaccins obligatoires pour Les nourrissons Effets secondaires graves causÈs par les adjuvants#Gardasil provoque des dÈcËs et effets secondaires""Plainte pour crimes contre l'humanitÈ dÈposÈe ‡ la Cour PÈnale internationale",0,fr
104,"Thank you @megynkelly for having a truthful discussion about #hpv and #gardasil "" "" open.spotify.com/episode/74xÖ",9,en
105,"@tweetninthedark ""Not the first horror story I've heard about the Gardasil v@x. Read the other day about a child who died after receiving it. Skip that one and just don't be promiscuous.""#gardasil",0,en
106,#Gardasil #GARDASIL poiZon. …coutons la parole des victimes et soutenons les,1,fr
108,"a typical letter from a young woman injured by #Gardasil. Her injuries, like those of so many, are manifold, complex and life-altering. ""ìÖlupus, rheumatoid arthritis, raynauds, POTSÖIBS, etc., and cervical cancer requiring a hysterectomy by age 24.î""childrenshealthdefense.org/dÖ",0,en
109,"Le #Gardasil est aussi fabriquÈ par Sanofi Pasteur"" ""Bh Serge Weinberg, prÈsident du conseil d'administration de Sanofi níest autre que l homme qui l'a fait entrer le jeune Emmanuel Macron ‡ la Banque Rothschild, o˘ il Ètait administrateur.",16,fr
110,"elles sont faites et publiÈes sur notre site mais contredisent les vÙtres ! On attend votre """"""""littÈrature scientifique"""""""" dÈmontrant l'efficacitÈ et innocuitÈ du #GARDASIL dont vous faÓtes la promotion !""""Les parents en procËs ‡ l'Ètranger et en France sont curieux Ègalement !",2,fr
113,"Lawyers can join us tomorrow for the #Gardasil #HPV vaccine litigation update. Presenters are Tracy Turner of Pendley, Baudin & Coffin, Andrew Downing of Downing Allison & Jorgenson, and Bijan Esfandiari and Stephanie Sherman @lawyersherman of Wisner Baum.",1,en
114,ProcËs en cours aux ???? avec #Merck #Gardasil !,15,fr
115,Reminder: NOT required in Virginia schools. Abstinence or condoms. #Cville #UVA #gardasil,0,en
116,Macron veut vacciner les Enfants des FranÁais contre le papillomavirus #Gardasil et ne croyez pas qu'ils ne sont pas au courant des effets secondaires: certain pays ont dÈj‡ le recul sur ce traitement. Et c'est une catastrophe. Ils savent. Ce sont des criminels #Crimes #children,11,fr
117,"@raoult_didier a eu le mÈrite de promouvoir un traitement prÈcoce. Toutefois, il est le premier ‡ vouloir ´†punir†ª les rÈticents aux vaccins, que lui prÈconise, comme le #gardasil. Il fait partie du sÈrail scientiste, Cíest 1 loup attaquÈ par des hyËnes piped.video/zAampntyD6k",6,fr
118,The data on #Gardasil is available. Educate yourselves.,3,en
119,Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus pgibertie.com/2023/07/13/danÖ via @GibertiePatrice,2,fr
121,"Jíai envie de dire : le mal est fait: 80% de franÁais:†ª tous vaccinÈs , tous pas protÈgÈs†ª, que #pfizer fasse un vaccin qui ne vaccine pas car il nía jamais ÈtÈ testÈ sur la transmission,Áa ne vous choque pas?JíespËre que vous parlerez du #gardasil que #macron vend aux enfants",4,fr
122,"Une experte mondialement reconnue par #BigPharma parle du #Gardasil #Merck #peur #manipulation sur l'infime... ! ""Bravo ! ??Et les #effetssecondaires graves, LCP n'en parle pas !?! ??? #crime #gÈnocide #cancer #mensonge #enfant#Macron #destitution""#justice #Nuremberg2 ! ???",6,fr
123,Attention au #Gardasil,0,fr
125,ProtÈgeons nos enfants #gardasil = poison ??,2,fr
127,"Macron vient de dÈclarer des contre-vÈritÈs flagrantes dans un collËge. Comment ses conseillers peuvent-ils le tromper ‡ ce point et lui cacher les rÈsultats inquiÈtants de cette vaccination ?""#Gardasil #HPV #papillomavirus #vaccins #Merck ""reseauinternational.net/le-gÖ",26,fr
128,"Big pharma a rÈussi ‡ ce que des parents vaccinent leurs garÁons au #gardasil pour Èviter un cancer du col de líutÈrus, alors quíils níont pas de vaginÖAh oui! Ils risquent un cancer de líanus et ce sont bien fait enculer, Áa cíest s˚r ! ??",0,fr
129,"@AssociationPEC @ALnpvl @GardasilNews """"#Gardasil",0,en
131,"#soutien ‡ toutes les #victimes de #Gardasil """"#Protegeonsnosenfants",0,fr
132,"""""we want justice for our son, who suffered mightily because Merck never told us that serious adverse effects were possible. We want accountability and acknowledgment that what theyíve done is wrong.""""""""""#HPV #Gardasil #BigPharma""childrenshealthdefense.org/dÖ",0,en
133,"merci d'Ètayer votre argument et fournir votre identitÈ !""""La publicitÈ du #GARDASIL est interdite !",1,fr
134,#StopTheShots #vaccineinjuries #VaccineSideEffects #Cancer #CancerResearch #cancerawareness #gardasil,4,en
136,"Danger pour les ados ‡ la rentrÈe 2023 ! ""Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil), vaccin dangereux et inefficace qui favorise de nouveaux†virus Ö""pgibertie.com/2023/07/13/danÖ",0,fr
137,"??MERCK states that #Gardasil """"""""contains NO viral DNA"""""""". ""TESTED - 100% positive for HPV DNA was found..SANE VAX to FDA: Recombinant HPV DNA found in multiple samples of Gardasil ""sanevax.org/sane-vax-to-fda-Ö",0,en
138,"Qui mettra en Garde contre les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) :Effets secondaires graves causÈs par les adjuvants""Contre le #Gardasil :DÈcËset effets secondaires graves""ArrÍt immÈdiat par Certains pays",0,fr
139,#Gardasil poiZon si vous tenez ‡ la santÈ de vos enfants rÈflÈchissez bien avant de prendre une dÈcision qui pourrait leur Ítre fatale,5,fr
141,Puis surtout avec les procËs en cours aux USA notamment sur le #Gardasil ... «a pose aucun problËme ??,14,fr
142,"C'est exactement l'objectif de #Macron qui a fait euthanasier les seniors en #EHPAD au #Rivotril, qui veut piquer nos enfants au #Gardasil pendant que des personnes en attente de soins dÈcËdent sur des brancards en attente aux urgences, faute de personnels #suspendus pour les prendre en charge.""Quand un animal a des plumes de canard, un bec de canard, des ailes de canard on dit que c'est un canard.""Cela fonctionne aussi pour un #assassin",2,fr
143,#gardasil #Merck #vaccineinjuries childrenshealthdefense.org/dÖ,0,en
144,"Diane Harper, lead #Gardasil researcher ñ what are the facts? skepticalraptor.com/skepticaÖ",2,en
145,Le #gardasil et tous les vaccins sont toxiques,0,fr
146,On va tous mourrrrriiiiiiiiiiiiiiiiiiiiiiiiiir ! A moins de vous faire vacciner pour 450Ä de shoots et engraisser Big Pharma. Vive le #Gardasil. Merci au Monde pour sa pub gratuite.,349,fr
147,"We filed the initial patent applications for the life-saving #Gardasil vaccine more than 30 years ago in 1991."" The #hpvvaccine , developed by @ianhfrazer @UQ_News , now has the potential to eliminate #cervicalcancer worldwide. Read more from @gavi ""tinyurl.com/nr3r84n7",5,en
148,"Cíest vrai, mais timorÈ quand mÍme, ‡ líEurope ce níest pas @ManonAubryFr quíon entend se bagarrer contre #Pfizer . Or cíest la mËre des batailles. Un jeune va chez le mÈdecin, il a affaire ‡ un vrp des labos qui essaye de lui fourguer le #gardasil Ö et ce níest que le dÈbut.",2,fr
149,Ni les garÁons ni les filles #Gardasil #GARDASIL poiZon,0,fr
150,"ANOTHER testimony. So much for being """"""""Extremely Safe"""""""" @DonnaHowardTX. "" ""#NotExtremelySafe #Gardasil #HB989 #txlege",10,en
151,"Les vaccins COVID-19 encore plus dangereux""Les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) effets secondaires graves causÈs par les adjuvants#Gardasil dÈcËs et effets secondaires graves""RaphaÎl Cohen a dÈposÈ une plainte pour crimes contre l'humanitÈ ‡ la CPI",1,fr
152,"CORVELVA's #GARDASIL chemical composition..""""drive.google.com/open?id=1vWÖ",0,en
154,Start with making pharmaceutical companies liable for killing and or maiming our children. #Gardasil #dtap,0,en
155,"Sur le Gardasil ! Emission d'intÈrÍt publique ! A regarder et diffuser largement. ProtÈgez vos enfants.""""#gardasil #toxicitÈ #junkscience #inefficacitÈ #conflitsinteret",771,fr
156,"Attention ñ Ne pas vacciner votre fille avant díavoir vu cette enquÍte de France 5. La rÈalitÈ derriËre les campagnes planÈtaires pour faire peur et convaincre quíon va ´Èviter un cancerª par ce vaccin.""#bigpharma #corruption #Gardasil #Merck #vaccins ""reseauinternational.net/gardÖ",35,fr
159,"Un tribunal de Caroline du Nord ordonne ‡ #Merck de remettre aux plaignants toutes ses donnÈes sur les effets indÈsirables du #Gardasil (dÈcision du 20 mars 2023). Il serait bon de les analyser avant d'injecter en masse. """"childrenshealthdefense.org/dÖ",7,fr
160,"Do you have a wart? Thatís HPV. Human Papilloma Virus. ""Some strains can cause anogenital, throat and cervical cancer. HPV can be transmitted just by human touch.The vaccines work. Go get it. ""#HPV #HPVvaccine #antivax #gardasil",0,en
161,13-Year-Old Noah Foleyís Untimely Death After Gardasil piped.video/aILrJQENFq8 via @YouTube #Gardasil,0,en
162,#HPV #VaccineSideEffects #vaccineinjuries #StopTheShots #Cancer #CancerResearch #cancerawareness #gardasil,4,en
164,"Directeurs d'Ètablissements scolaires, infirmiers, infirmiËres scolaires, nous vous recommandons cet ouvrage de @NicoleDelepine avant de vous rendre complices !""""#Gardasil #HPV #EffetsSecondaires",389,fr
165,"Many Unvaccinated Men .... Infected with #HPV "" precisionvaccinations.com/maÖ ""#vaccine #Gardasil #cervicalcancer #pharmacy #hcsm #mHealth",2,en
166,#poison #gardasil Ö infanticides en cours ! StÈrilisations in progress handicaps ‡ gogo et dÈcËs rapides ! Les parents ? Vous vous rÈveillez ? @AssociationPEC @ALnpvl,2,fr
167,"@P_McCulloughMD """"??MERCK states that #Gardasil """"""""contains NO viral DNA"""""""". "" TESTED - 100% positive for HPV DNA was found.. SANE VAX to FDA: Recombinant HPV DNA found in multiple samples of Gardasil ""sanevax.org/sane-vax-to-fda-Ö",1,en
169,@AmyPaulin Just advanced a bill that would allow practitioners to give #gardasil shots to any child as young as 9 without parental consent or knowledge.,2,en
170,Ni les garÁons ni les filles #Gardasil #GARDASIL poiZon,0,fr
172,"Penchez vous Ègalement sur la maniËre dont Xavier Bertrand dÈcidait seul, sans attendre l'avis de l'HAS ou du CTV, du remboursement de mÈdicaments ou de vaccins, quand il Ètait ministre de la santÈ de Sarkozy...""""#Gardasil #Mediator",6,fr
173,depeches-citoyennes.fr/2023/Ö @aimsib @UnionMarche @MARTIGNONCHRIS1 @den_pero @LangNevine @AssociationPEC #parents #gardasil #papillomavirus #vÈritÈ @ALnpvl,0,fr
175,"#Court Orders #Merck to Turn Over #Gardasil #AdverseEvent Databases""to plaintiffs suing the #pharmaceutical giant for injuries allegedly caused by the #HPVvaccine ""childrenshealthdefense.org/dÖ",4,en
177,"??????HPV???? | BPK 9 ??????""???? 23,000 ?????????!????????.?????????????? WeChat?ipenzz13linkbio.co/50123051HcLU8""#???? #???? #???? #?? #?? #HPV #???? #??HPV?? #???? #GARDASIL #??????? #HPV????",0,en
178,"This is HPV vaccine called the #Gardasil. ""One of my friend's daughter was pushed to get this by the pediatrician. But I had already informed her about this, and she said NO. ""The pediatrician was so mad at her that she had to stop going to that particular pediatrician.",3,en
179,"#Gardasil RÈflÈchissez, cherchez. Vous n'avez pas le droit d'avoir la flemme, pour vos enfants....",3,fr
180,"Covid 19 effets secondaires graves""11vaccins obligatoires pour les nourrissons Effets secondaires graves causÈs par les adjuvants""#Gardasil provoque des effets secondaires.",0,fr
181,"#Gardasil #HPV vaccine, just another horrible failure.",1,en
182,"CSI n∞99 : Surya Arby 13/04/2023 vaccins anti HPV, synthËse des donnÈes mises ‡ jour""vaccins anti HPV ( #Gardasil ) ""crowdbunker.com/v/2Czfyu1J",0,fr
183,"Cíest díautant plus suspect : pourquoi níen a tíelle pas parlÈ en mÍme temps que Martine #wonner?Dire une vÈritÈ deux ans aprËs les sonneurs díalerte, cíest long. Son combat est de protÈger les enfants : a t elle dit une seule fois de ne pas vacciner les enfants au #gardasil?",1,fr
184,"Ils Savaient !! que les"""""""" vaccins """"""""faisaient du mal aux gens, mais n'ont rien dit....""Pour les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) provoquent des effets secondaires graves causÈs par les adjuvants""Le #Gardasil provoque des dÈcËs et effets secondaires..",0,fr
185,#vaccines #HPV #CrimesAgainstHumanity #Gardasil #DiedSuddenly,0,en
186,Do you have an #HPVvaccine #Gardasil injury story to share? Tell Rep @DonnaHowardTX how #NotExtremelySafe this vax is and urge the TX Higher Ed Cmte to vote ìnoî on #HB989 #txlege,12,en
188,"Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus pgibertie.com/2023/07/13/danÖ via @GibertiePatrice "" ""Retweeter massivement, merci.",1,fr
190,"#TeamTFVC testimony below ??"" ""#NotExtremelySafe #Gardasil #HB989 #txlege",14,en
191,"#GARDASIL""@IMSS""instagram.com/reel/CtnZ101sUÖ",4,en
192,"Le #CrimineldEtat #Macron fait dÈsormais tirer sur les #enfants aprËs avoir voulu les piquer au #Gardasil""@amnestyfrance @washingtonpost @tdgch @NYTupdates ""@UPR_Asselineau",0,fr
194,Speaking of Clown World: The @nydems passed @AmyPaulin's bill in the Assembly Health Committee that allows children as young as 9 to get #Gardasil shots without the consent/knowledge of Mom/Dad. The clown even brought her dog to vote on the bill.,0,en
196,Court Orders Merck to Turn Over Gardasil Adverse Event Databases ï Children's Health Defense #gardasil #AdverseEvents childrenshealthdefense.org/dÖ,2,en
197,Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus | LE BLOG DE PATRICE GIBERTIE pgibertie.com/2023/07/13/danÖ,1,fr
198,"????????????""Un condensÈ de la doxa !#Gardasil #LGBTQ #Vaccin ""Et tout Áa au nom du bien !",0,fr
200,"Pareil que pendant la pandÈmie, mÍme dilemme ‡ prÈvoir : injectÈ ou ÈjectÈ ?"" ""#Vaccin #Gardasil",0,fr
