,X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,user_is_verified,user_name,language,engagement
10,27,Tue Aug 22 23:19:00 +00:00 2023,Quant ‡ l'autre machin en caoutchouc il protËge mÍme pas du HPV. #Gardasil contre le cancer du col de l'utÈrus et de la teub,0,,,,,,,,,,,,,,,,,0,0,0,94321b51,48ec7f97,8e27958c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6941271406759608e+18,,,,,False,94321b51,fr,0
11,32,Thu Jul 27 06:20:00 +00:00 2023,"??#GARDASIL bÈnÈfices risques, qui croire lorsque les effets secondaires se multiplient. piped.video/AgvY-EdSHLg",30,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,1.6844487194107983e+18,https://piped.video/AgvY-EdSHLg,,,,True,abd0d0bf,fr,70
12,39,Mon Jul 03 15:50:00 +00:00 2023,"Sur le #Gardasil""""#netouchezpasauxenfants",1,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#netouchezpasauxenfants,,,,,,,,,,,,,,,,,,,,,,,1.6758948611472753e+18,,,,,False,443d7512,fr,2
13,40,Thu Jul 27 06:04:00 +00:00 2023,"@FederationPEEP @FCPE_nationale  Les injections ?? de masse ayant eu lieu dans les #collËges et #lycÈes, pourriez-vous demander au gvt ces statistiques ?? ? Comptez-vous laisser faire pour le #Gardasil ? #Enfants #Adolescents #Vaccinodromes #PEEP #FCPE",0,cfd07bbc,5870d139,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#collËges,"#lycÈes,",#Gardasil,#Enfants,#Adolescents,#Vaccinodromes,#PEEP,#FCPE,,,,,,,,,,,,,,,,,1.6844446757242675e+18,,,,,False,12ba55ec,fr,0
14,43,Tue Aug 22 21:20:00 +00:00 2023,"Audition parlementaire tout y est ! ""#Gardasil#HpB#GrippeNanoparticules d'aluminium #AlzheimerAutisme 1/35 enfants Asthme 1/11 enfants Maladies auto immunes.....""#CrimesAgainstHumanity",1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#HpB,#Grippe,#Alzheimer,#CrimesAgainstHumanity,,,,,,,,,,,,,,,,,,,,1.69409724928059e+18,,,,,False,7086e2aa,fr,1
15,45,Wed Jul 05 18:19:00 +00:00 2023,"#CrimesAgainstChildren #Injection #Papillonavirus #Gardasil""""ProtÈger vos enfants, ces injections ont dÈj‡ ÈtÈ expÈrimentÈ dans d'autre pays. Non seulement, elles sont INEFFICACES, mais en sus, elles s'accompagnent d'effets secondaires. #ProtectChildren #ProtectOurKids #France",0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#CrimesAgainstChildren,#Injection,#Papillonavirus,#Gardasil,#ProtectChildren,#ProtectOurKids,#France,,,,,,,,,,,,,,,,,,1.6766569543183974e+18,,,,,False,af9119e0,fr,0
16,47,Sat Aug 26 08:59:00 +00:00 2023,"Bonjour, non, il faut l'accord des deux parents pour celui-ci ?? #Gardasil #papillomavirus #TouchePas¿MonGosse """"gouvernement.fr/actualite/paÖ",5,,,,,,,,,,,,,,,,,0,1,1,1fc899d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#papillomavirus,#TouchePas¿MonGosse,,,,,,,,,,,,,,,,,,,,,,1.6953603186695537e+18,https://www.gouvernement.fr/actualite/papillomavirus-vaccination-pour-les-eleves-de-5e-a-la-rentree-2023,,,,False,a7587ab3,fr,7
17,48,Sat May 06 13:17:00 +00:00 2023,#Merck est en procËs aux ???? sur le #Gardasil Chercher sur le compte @CHdefenseNY pour plus d'infos.,1,7b0e78d3,,,,,,,,,,,,,,,,0,0,0,0e18769e,063b417b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Merck,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,1.6548378580358062e+18,,,,,False,12ba55ec,fr,1
18,49,Fri May 26 11:48:00 +00:00 2023,"Le druide...et ce n'est pas surprenant vu l'historique #H1N1,#Gardasil ...",0,,,,,,,,,,,,,,,,,0,0,0,e74fe1cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"#H1N1,#Gardasil",,,,,,,,,,,,,,,,,,,,,,,,1.6620630903121388e+18,,,,,False,9695345a,fr,0
19,57,Mon Jul 03 09:40:00 +00:00 2023,#Gardasil #GARDASIL poiZon tout mon soutien ‡ vous les victimes,1,,,,,,,,,,,,,,,,,0,0,0,6229fd75,e693a2e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1.6758016934123725e+18,,,,,False,f0dad914,fr,1
20,59,Fri Aug 18 21:27:00 +00:00 2023,"""""La vaccination, ca ne se discute pas"""""""".""Euh ben si, en fait. Et t'avise pas de t'approcher de mes gosses??????#Gardasil #Papillomavirus ""crowdbunker.com/v/hLfSTy2bw4",783,,,,,,,,,,,,,,,,,0,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,#Gardasil,#Papillomavirus,,,,,,,,,,,,,,,,,,,,,,,1.6926494061163648e+18,https://crowdbunker.com/v/hLfSTy2bw4,,,,False,5a109e29,fr,1062
21,60,Fri Aug 04 07:12:00 +00:00 2023,#Vaccin #Gardasil : les essais sont aussi truquÈs que ceux de l'injection #Covid,6,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,#Vaccin,#Gardasil,#Covid,,,,,,,,,,,,,,,,,,,,,,1.6873609490642327e+18,,,,,False,12ba55ec,fr,15
22,62,Sat Jul 15 22:32:00 +00:00 2023,"Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus""""pgibertie.com/2023/07/13/danÖ",6,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,#papillomavirus,,,,,,,,,,,,,,,,,,,,,,,,1.6803446195553812e+18,https://pgibertie.com/2023/07/13/danger-pour-les-ados-a-la-rentree-2023-le-gouvernement-pousse-a-la-vaccination-contre-le-papillomavirus-gardasil-vaccin-dangereux-et-inefficace-qui-favorise-de-nouveaux-virus/,,,,False,f5c9a112,fr,14
23,63,Sun Jul 09 20:10:00 +00:00 2023,"Cette vaccination n'est pas obligatoire, c'est donc aux parents de dÈcider avec leur enfant si oui ou non cette vaccination est nÈcessaire ‡ 12 ans et prendre en compte les bÈnÈfices/risques de ces injections (3 doses sont nÈcessaires).#Gardasil #vaccination",0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#vaccination,,,,,,,,,,,,,,,,,,,,,,,,1.678134657370542e+18,,,,,False,5c3a8cbb,fr,0
24,66,Fri May 26 07:30:00 +00:00 2023,"???@LaurenceKayser : ´†C'est dangereux d'injecter des produits qui touchent au systËme immunitaire des gens. Pourquoi prendre des risques sur la #santÈ des jeunes ? «a n'a pas de sens. ª #vaccins #vaccination #papillomavirus #gardasil"" ""Entretien complet ? piped.video/HTeXkz_BykY",14,70110e1b,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,#santÈ,#vaccins,#vaccination,#papillomavirus,#gardasil,,,,,,,,,,,,,,,,,,,,1.661998101480239e+18,https://piped.video/HTeXkz_BykY,,,,False,3421a23b,fr,24
25,70,Sat May 06 07:11:00 +00:00 2023,"Quand il sera capable de reconnaÓtre les EI des diffÈrents scandales sanitaires sans rechigner, il sera en droit de parler de la Science. Pas avant. #creuzfeldtjacob #levothyrox #mediator #h1n1 #gardasil ...",1,,,,,,,,,,,,,,,,,0,1,0,dbe48352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#creuzfeldtjacob,#levothyrox,#mediator,#h1n1,#gardasil,,,,,,,,,,,,,,,,,,,,1.6547456558714552e+18,,,,,False,9384252d,fr,2
26,71,Sat Apr 08 22:05:00 +00:00 2023,"InefficacitÈ et forte toxicite du. Vaccin chez les enfants""Les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) provoquent des effets secondaires graves causÈs par les adjuvants Toujours injectÈs""#Gardasil provoque des dÈcËs et effets secondaires graves tjs injectÈs",0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6448238086398935e+18,,,,,False,87d7af5f,fr,1
27,74,Mon Jul 17 22:01:00 +00:00 2023,Gardons-nous du #Gardasil ?????,8,,,,,,,,,,,,,,,,,0,0,0,1500ffbb,2a034c36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6810615886047887e+18,,,,,False,31be7426,fr,8
28,76,Sun Jun 11 18:38:00 +00:00 2023,"@AssociationPEC "" @FrcsBraun @PapNdiaye @education_gouv @Sante_Gouv Ne vous avisez pas de dÈployer des infirmiËres du IVe Reich dans les Ècoles pour les injections #Gardasil ou #Covid !  ""Alerte ?? Injections sans consentement des parents ds les ecoles !",0,a7587ab3,252b0256,61dce985,f4b49e4d,5fe1257b,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#Covid,,,,,,,,,,,,,,,,,,,,,,,1.6679645159824876e+18,,,,,False,7086e2aa,fr,1
29,77,Wed Aug 16 22:13:00 +00:00 2023,"Ce torchon est financÈ par l'Etat ( donc nous ) et par Bill Gates.""""Vive le #Gardasil et la vaccination permanente,",4,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6919361601325507e+18,,,,,False,51c96d6c,fr,5
30,79,Thu Jun 15 03:54:00 +00:00 2023,"- ne voulait pas celui contre le Covid, finalement son professeur lui en injectÈ 7. Son mari enseignant vendait #gardasil aux adolescentes,et se plaint que la France est derniËre.Ils ont eu pÈniblement leurs jumeaux par FIV et donneur , #BigPharma a donnÈ,Big pharma va reprendre",0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,#BigPharma,,,,,,,,,,,,,,,,,,,,,,,1.669191732217487e+18,,,,,False,77dc7e9a,fr,0
31,85,Sat Apr 08 18:27:00 +00:00 2023,"Se faire enlever des condylomes c'est tellement une partie de plaisir  Certains hommes savent vraiment de quoi ils parlent.????""Poke @rosedeb_@Alexa2B74 @AudeVisine @mariedahaoui18 @cyberds001  ""#HPV #gardasil",9,a9bf2fd5,1ba4f765,d26d5d93,14b9f397,64f3c3d5,,,,,,,,,,,,0,0,2,d5ef779e,a818189e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#HPV,#gardasil,,,,,,,,,,,,,,,,,,,,,,,1.6447690616859195e+18,,,,,False,d5ef779e,fr,11
32,86,Sun Jul 09 20:03:00 +00:00 2023,"?????? Vacciner le monde avec Gavi"" #Gardasil""#LesGuignols",1,,,,,,,,,,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#Gardasil,#LesGuignols,,,,,,,,,,,,,,,,,,,,,,,1.6781327072791183e+18,,,,,False,e491a29b,fr,4
33,89,Tue Aug 22 15:27:00 +00:00 2023,"RENSEIGNEZ-VS avant de mettre les ados en danger !!""@NicoleDelepine 2019Vaccin Gardasil =DANGER docteur.nicoledelepine.fr/?pÖ "" l'infection ‡ papillomavirus passe inaperÁue dans la grande maj des cas et que pire l'effet du #gardasil est paradoxal avec aggravation taux k chez vaccinÈes",4,930d0858,,,,,,,,,,,,,,,,0,0,2,e34762f9,e250b232,1e1594da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6940084736278694e+18,http://docteur.nicoledelepine.fr/?p=2455,,,,False,725e654c,fr,6
34,94,Tue Apr 04 20:56:00 +00:00 2023,"#Gardasil un tribunal ordonne a Merck de livrer sa base de donnÈes sur les effets indÈsirables""""Les 11 vaccins obligatoires pour les nourrissons Effets secondaires graves causÈs par les adjuvants Toujours injectÈs",0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6433568980522516e+18,,,,,False,87d7af5f,fr,0
35,95,Tue May 02 08:14:00 +00:00 2023,Et puis surtout ne parlons pas du scandale du #Gardasil  aux US qui sont juste en procËs et des #pfizerfiles .....,5,,,,,,,,,,,,,,,,,0,0,1,870d261a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#pfizerfiles,,,,,,,,,,,,,,,,,,,,,,,1.653312112150696e+18,,,,,False,c23f31ce,fr,6
36,96,Mon May 22 08:06:00 +00:00 2023,"CAMPAGNE DE VACCINATION !"" Refusons ces thÈrapies gÈniques qui engendrent des #effetssecondaires massifs ! ProtÈgeons-les !MERCI DE PARTAGER LES CONNAISSANCES SUR CES POISONS !!#Gardasil #cancer #jeunesse#santÈ du #business d'abord ! ??""#crime #gÈnocide #justice #Nuremberg2",2,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#effetssecondaires,#Gardasil,#cancer,#jeunesse,#santÈ,#business,#crime,#gÈnocide,#justice,#Nuremberg2,,,,,,,,,,,,,,,1.6605576476140257e+18,,,,,False,4ec31234,fr,2
37,98,Fri Apr 14 12:26:00 +00:00 2023,"Podcast CSI n∞99:""Gardasil, on fait le point.Surya Arby, Philippe de Cazournes, HÈlËne Banoun et Louis FouchÈpodcasters.spotify.com/pod/sÖ""#gardasil #junkscience #conflitsinteret #toxicitÈ #inefficacitÈ",87,,,,,,,,,,,,,,,,,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,#gardasil,#junkscience,#conflitsinteret,#toxicitÈ,#inefficacitÈ,,,,,,,,,,,,,,,,,,,,1.6468523862399875e+18,https://podcasters.spotify.com/pod/show/csi-fr/episodes/CSI-n99--Surya-Arby-13042023-vaccins-anti-HPV--synthse-des-donnes-mises--jour-e22b2sv,,,,False,7ef4eca2,fr,143
38,100,Fri May 26 06:21:00 +00:00 2023,"Le #Gardasil protËge-t-il des cancers du col de l'utÈrus (#Papilionaires #papillomavirus)?""""crowdbunker.com/v/Tv5bug6S",3,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#Gardasil,#papillomavirus)?,,,,,,,,,,,,,,,,,,,,,,,1.6619808447041126e+18,https://crowdbunker.com/v/Tv5bug6S,,,,True,620a3023,fr,4
39,101,Sat Apr 22 13:55:00 +00:00 2023,"Vaxx anti-covid 19 :Effets secondaires graves""11vaccins obligatoires pour Les nourrissons  Effets secondaires graves causÈs par les adjuvants#Gardasil provoque des dÈcËs et effets secondaires""Plainte pour crimes contre l'humanitÈ dÈposÈe ‡ la Cour PÈnale internationale",0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6497739150807368e+18,,,,,False,87d7af5f,fr,0
40,106,Sun Jun 11 14:21:00 +00:00 2023,#Gardasil #GARDASIL poiZon. …coutons la parole des victimes et soutenons les,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1.6678998616544625e+18,,,,,False,f0dad914,fr,1
41,109,Thu May 04 20:14:00 +00:00 2023,"Le  #Gardasil est aussi fabriquÈ par Sanofi Pasteur"" ""Bh Serge Weinberg, prÈsident du conseil d'administration de Sanofi níest autre que l homme qui l'a  fait entrer le jeune Emmanuel Macron ‡ la Banque Rothschild, o˘ il Ètait administrateur.",10,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6542180125373724e+18,,,,,False,efe2fb13,fr,16
42,110,Tue Jul 11 17:29:00 +00:00 2023,"elles sont faites et publiÈes sur notre site mais contredisent les vÙtres ! On attend votre """"""""littÈrature scientifique"""""""" dÈmontrant l'efficacitÈ et innocuitÈ du #GARDASIL dont vous faÓtes la promotion !""""Les parents en procËs ‡ l'Ètranger et en France sont curieux Ègalement !",2,,,,,,,,,,,,,,,,,0,0,0,57e76f39,e74fe1cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,,1.678818890095161e+18,,,,,False,a7587ab3,fr,2
43,114,Sun May 14 17:54:00 +00:00 2023,ProcËs en cours aux ???? avec #Merck #Gardasil !,14,,,,,,,,,,,,,,,,,0,0,1,ea81ae4d,1c17ed5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Merck,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,1.6578067176551055e+18,,,,,False,12ba55ec,fr,15
